target,model,wape,bias,mae,n_windows
loaded_orders_nunique,baseline,0.08394398121492896,-0.03547788669864054,57.33793636885723,8
loaded_orders_nunique,internal,0.08628256929241492,-0.0373678766267804,58.935308955184006,8
trips_total,internal,0.10225140170966199,-0.059544466352990565,7.980721903439118,8
trips_total,baseline,0.1164481812872123,-0.07570390256010884,9.08878054946692,8
loaded_gross_tons,internal,0.16052554750291054,-0.12838552692562483,143.01429774456273,8
loaded_gross_tons,baseline,0.17960003820106146,-0.1454870566364616,160.0080095522224,8
forecast_day_binhits,internal,0.23002758910016963,-0.16228613517322663,398.77870380891784,8
forecast_day_binhits,baseline,0.4731455324650168,-0.0070150060739197955,820.2510094005089,8
forecast_night_binhits,internal,0.25070495651431607,-0.20828577925916097,224.5877676694372,8
forecast_night_binhits,baseline,0.4277482979408215,-0.08541116459537289,383.1876190028364,8
