week_end,target,forecast,selected_model
2026-03-29,invoice_storage_eur_pallet,28581.170916666662,baseline
2026-04-05,invoice_storage_eur_pallet,28373.227862599197,baseline
2026-04-12,invoice_storage_eur_pallet,28408.156973105037,baseline
2026-04-19,invoice_storage_eur_pallet,28523.33026969805,baseline
2026-04-26,invoice_storage_eur_pallet,28799.482863243684,baseline
2026-05-03,invoice_storage_eur_pallet,28813.225619743607,baseline
2026-05-10,invoice_storage_eur_pallet,29000.285069911042,baseline
2026-05-17,invoice_storage_eur_pallet,29021.940820693173,baseline
2026-05-24,invoice_storage_eur_pallet,29139.923103476332,baseline
2026-05-31,invoice_storage_eur_pallet,29097.55704490823,baseline
2026-06-07,invoice_storage_eur_pallet,29039.094030351454,baseline
2026-06-14,invoice_storage_eur_pallet,28996.11861193633,baseline
2026-06-21,invoice_storage_eur_pallet,29064.731986494506,baseline
2026-06-28,invoice_storage_eur_pallet,29230.87608583636,baseline
2026-03-29,invoice_storage_shelf,5356.555357142858,baseline
2026-04-05,invoice_storage_shelf,5347.1622614795915,baseline
2026-04-12,invoice_storage_shelf,5305.763978961675,baseline
2026-04-19,invoice_storage_shelf,5356.407901851379,baseline
2026-04-26,invoice_storage_shelf,5369.334564162233,baseline
2026-05-03,invoice_storage_shelf,5379.860854405129,baseline
2026-05-10,invoice_storage_shelf,5370.813973699658,baseline
2026-05-17,invoice_storage_shelf,5355.623939768623,baseline
2026-05-24,invoice_storage_shelf,5393.059199499176,baseline
2026-05-31,invoice_storage_shelf,5430.028045395528,baseline
2026-06-07,invoice_storage_shelf,5423.754295205483,baseline
2026-06-14,invoice_storage_shelf,5411.22138949877,baseline
2026-06-21,invoice_storage_shelf,5412.541714119361,baseline
2026-06-28,invoice_storage_shelf,5454.900789134036,baseline
